"Index","SP500.usd"
2009-07-16,6426.383088
2009-07-17,6424.111932
2009-07-20,6496.978804
2009-07-21,6520.73598
2009-07-22,6516.965949
2009-07-23,6668.939361
2009-07-24,6689.716764
2009-07-27,6709.468016
2009-07-28,6691.490334
2009-07-29,6661.737225
2009-07-30,6741.772025
2009-07-31,6746.562108
2009-08-03,6849.767634
2009-08-04,6869.79628
2009-08-05,6849.379776
2009-08-06,6811.352604
2009-08-07,6903.397264
2009-08-10,6882.82353
2009-08-11,6797.476035
2009-08-12,6874.811931
2009-08-13,6920.591728
2009-08-14,6862.352696
2009-08-17,6697.630226
2009-08-18,6763.305813
2009-08-19,6809.907286
2009-08-20,6882.150366
2009-08-21,7009.904482
2009-08-24,7005.873784
2009-08-25,7022.782
2009-08-26,7023.293344
2009-08-27,7043.449164
2009-08-28,7027.694793
2009-08-31,6971.242848
2009-09-01,6816.812808
2009-09-02,6794.9383
2009-09-03,6852.731144
2009-09-04,6941.80872
2009-09-08,7000.952764
2009-09-09,7056.677056
2009-09-10,7130.745302
2009-09-11,7120.281805
2009-09-14,7165.837926
2009-09-15,7188.305007
2009-09-16,7294.500752
2009-09-17,7273.567485
2009-09-18,7294.45923
2009-09-21,7270.456674
2009-09-22,7316.22282
2009-09-23,7241.710794
2009-09-24,7173.464904
2009-09-25,7131.54883
2009-09-28,7256.96446
2009-09-29,7241.84508
2009-09-30,7216.15662
2009-10-01,7030.271025
2009-10-02,6998.596065
2009-10-05,7102.70019
2009-10-06,7200.04608
2009-10-07,7219.56987
2009-10-08,7273.49922
2009-10-09,7313.454995
2009-10-12,7343.167227
2009-10-13,7326.238854
2009-10-14,7454.456126
2009-10-15,7486.7634
2009-10-16,7425.373824
2009-10-19,7495.211988
2009-10-20,7448.230196
2009-10-21,7383.15036
2009-10-22,7463.48239
2009-10-23,7372.0486
2009-10-26,7284.814515
2009-10-27,7262.452254
2009-10-28,7119.286166
2009-10-29,7279.39908
2009-10-30,7074.587225
2009-11-02,7120.680352
2009-11-03,7137.954939
2009-11-04,7144.4555
2009-11-05,7282.522988
2009-11-06,7300.53882
2009-11-09,7462.45716
2009-11-10,7461.542066
2009-11-11,7498.319409
2009-11-12,7422.370032
2009-11-13,7464.422524
2009-11-16,7573.1911
2009-11-17,7579.59948
2009-11-18,7576.6046
2009-11-19,7476.52465
2009-11-20,7451.724364
2009-11-23,7553.40672
2009-11-24,7551.036675
2009-11-25,7582.604199
2009-11-27,7453.130316
2009-11-30,7480.413825
2009-12-01,7571.29608
2009-12-02,7572.78148
2009-12-03,7509.15384
2009-12-04,7550.083068
2009-12-07,7534.53555
2009-12-08,7455.329544
2009-12-09,7482.70822
2009-12-10,7526.40486
2009-12-11,7554.124916
2009-12-14,7607.254491
2009-12-15,7564.392075
2009-12-16,7573.370122
2009-12-17,7485.787968
2009-12-18,7527.775407
2009-12-21,7607.290425
2009-12-22,7634.39957
2009-12-23,7651.948815
2009-12-24,7691.60544
2009-12-28,7702.962956
2009-12-29,7691.04504
2009-12-30,7688.37971
2009-12-31,7612.7877
2010-01-04,7736.622215
2010-01-05,7758.794736
2010-01-06,7764.164492
2010-01-07,7795.573489
2010-01-08,7817.465448
2010-01-11,7829.629574
2010-01-12,7756.97394
2010-01-13,7824.765264
2010-01-14,7840.53642
2010-01-15,7755.67681
2010-01-19,7853.540394
2010-01-20,7769.39908
2010-01-21,7622.097312
2010-01-22,7453.44552
2010-01-25,7487.607382
2010-01-26,7455.807722
2010-01-27,7493.5105
2010-01-28,7403.977857
2010-01-29,7331.203103
2010-02-01,7435.90013
2010-02-02,7532.475972
2010-02-03,7491.13056
2010-02-04,7259.446635
2010-02-05,7280.478415
2010-02-08,7213.941284
2010-02-09,7308.225936
2010-02-10,7293.725705
2010-02-11,7370.048286
2010-02-12,7349.390034
2010-02-16,7481.684658
2010-02-17,7513.391634
2010-02-18,7562.533425
2010-02-19,7574.632847
2010-02-22,7564.827474
2010-02-23,7473.60042
2010-02-24,7545.47348
2010-02-25,7529.550792
2010-02-26,7539.359189
2010-03-01,7616.282744
2010-03-02,7634.255046
2010-03-03,7636.636782
2010-03-04,7665.730111
2010-03-05,7773.33555
2010-03-08,7771.74255
2010-03-09,7785.053835
2010-03-10,7819.819299
2010-03-11,7853.378624
2010-03-12,7849.371744
2010-03-15,7853.496311
2010-03-16,7914.47396
2010-03-17,7960.54946
2010-03-18,7958.188746
2010-03-19,7918.17334
2010-03-22,7958.518546
2010-03-23,8015.236671
2010-03-24,7971.557352
2010-03-25,7958.555283
2010-03-26,7964.30993
2010-03-29,8008.869008
2010-03-30,8008.506366
2010-03-31,7982.412237
2010-04-01,8042.18184
2010-04-05,8104.990464
2010-04-06,8118.52272
2010-04-07,8070.812475
2010-04-08,8096.385204
2010-04-09,8149.664258
