"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2007","2,376.47","2,376.47","2,376.47","2,376.47","0","0.88"
"Oct 22, 2007","2,355.74","2,355.74","2,355.74","2,355.74","0","0.38"
"Oct 19, 2007","2,346.78","2,346.78","2,346.78","2,346.78","0","-2.56"
"Oct 18, 2007","2,408.46","2,408.46","2,408.46","2,408.46","0","-0.07"
"Oct 17, 2007","2,410.22","2,410.22","2,410.22","2,410.22","0","0.19"
"Oct 16, 2007","2,405.76","2,405.76","2,405.76","2,405.76","0","-0.66"
"Oct 15, 2007","2,421.67","2,421.67","2,421.67","2,421.67","0","-0.84"
"Oct 12, 2007","2,442.12","2,442.12","2,442.12","2,442.12","0","0.48"
"Oct 11, 2007","2,430.55","2,430.55","2,430.55","2,430.55","0","-0.51"
"Oct 10, 2007","2,443.02","2,443.02","2,443.02","2,443.02","0","-0.16"
"Oct 09, 2007","2,447.03","2,447.03","2,447.03","2,447.03","0","0.81"
"Oct 08, 2007","2,427.33","2,427.33","2,427.33","2,427.33","0","-0.32"
"Oct 05, 2007","2,435.16","2,435.16","2,435.16","2,435.16","0","0.98"
"Oct 04, 2007","2,411.41","2,411.41","2,411.41","2,411.41","0","0.21"
"Oct 03, 2007","2,406.30","2,406.30","2,406.30","2,406.30","0","-0.44"
"Oct 02, 2007","2,416.83","2,416.83","2,416.83","2,416.83","0","-0.03"
"Oct 01, 2007","2,417.44","2,417.44","2,417.44","2,417.44","0","1.33"
"Sep 28, 2007","2,385.72","2,385.72","2,385.72","2,385.72","0","-0.30"
"Sep 27, 2007","2,392.92","2,392.92","2,392.92","2,392.92","0","0.39"
"Sep 26, 2007","2,383.53","2,383.53","2,383.53","2,383.53","0","0.56"
"Sep 25, 2007","2,370.26","2,370.26","2,370.26","2,370.26","0","-0.03"
"Sep 24, 2007","2,371.03","2,371.03","2,371.03","2,371.03","0","-0.53"
"Sep 21, 2007","2,383.55","2,383.55","2,383.55","2,383.55","0","0.46"
"Sep 20, 2007","2,372.61","2,372.61","2,372.61","2,372.61","0","-0.65"
"Sep 19, 2007","2,388.15","2,388.15","2,388.15","2,388.15","0","0.61"
"Sep 18, 2007","2,373.63","2,373.63","2,373.63","2,373.63","0","2.92"
"Sep 17, 2007","2,306.25","2,306.25","2,306.25","2,306.25","0","-0.51"
"Sep 14, 2007","2,318.11","2,318.11","2,318.11","2,318.11","0","0.02"
"Sep 13, 2007","2,317.63","2,317.63","2,317.63","2,317.63","0","0.85"
"Sep 12, 2007","2,298.14","2,298.14","2,298.14","2,298.14","0","0.03"
"Sep 11, 2007","2,297.41","2,297.41","2,297.41","2,297.41","0","1.36"
"Sep 10, 2007","2,266.51","2,266.51","2,266.51","2,266.51","0","-0.12"
"Sep 07, 2007","2,269.32","2,269.32","2,269.32","2,269.32","0","-1.69"
"Sep 06, 2007","2,308.35","2,308.35","2,308.35","2,308.35","0","0.44"
"Sep 05, 2007","2,298.16","2,298.16","2,298.16","2,298.16","0","-1.10"
"Sep 04, 2007","2,323.83","2,323.83","2,323.83","2,323.83","0","1.05"
"Aug 31, 2007","2,299.71","2,299.71","2,299.71","2,299.71","0","1.12"
"Aug 30, 2007","2,274.16","2,274.16","2,274.16","2,274.16","0","-0.41"
"Aug 29, 2007","2,283.58","2,283.58","2,283.58","2,283.58","0","2.22"
"Aug 28, 2007","2,234.02","2,234.02","2,234.02","2,234.02","0","-2.34"
"Aug 27, 2007","2,287.62","2,287.62","2,287.62","2,287.62","0","-0.85"
"Aug 24, 2007","2,307.22","2,307.22","2,307.22","2,307.22","0","1.16"
"Aug 23, 2007","2,280.68","2,280.68","2,280.68","2,280.68","0","-0.11"
"Aug 22, 2007","2,283.08","2,283.08","2,283.08","2,283.08","0","1.18"
"Aug 21, 2007","2,256.52","2,256.52","2,256.52","2,256.52","0","0.11"
"Aug 20, 2007","2,254.07","2,254.07","2,254.07","2,254.07","0","-0.03"
"Aug 17, 2007","2,254.68","2,254.68","2,254.68","2,254.68","0","2.46"
"Aug 16, 2007","2,200.61","2,200.61","2,200.61","2,200.61","0","0.33"
"Aug 15, 2007","2,193.40","2,193.40","2,193.40","2,193.40","0","-1.36"
"Aug 14, 2007","2,223.71","2,223.71","2,223.71","2,223.71","0","-1.80"
"Aug 13, 2007","2,264.58","2,264.58","2,264.58","2,264.58","0","-0.03"
"Aug 10, 2007","2,265.36","2,265.36","2,265.36","2,265.36","0","0.04"
"Aug 09, 2007","2,264.50","2,264.50","2,264.50","2,264.50","0","-2.95"
"Aug 08, 2007","2,333.24","2,333.24","2,333.24","2,333.24","0","1.44"
"Aug 07, 2007","2,300.10","2,300.10","2,300.10","2,300.10","0","0.62"
"Aug 06, 2007","2,285.93","2,285.93","2,285.93","2,285.93","0","2.42"
"Aug 03, 2007","2,231.98","2,231.98","2,231.98","2,231.98","0","-2.65"
"Aug 02, 2007","2,292.79","2,292.79","2,292.79","2,292.79","0","0.46"
"Aug 01, 2007","2,282.30","2,282.30","2,282.30","2,282.30","0","0.73"
"Jul 31, 2007","2,265.75","2,265.75","2,265.75","2,265.75","0","-1.26"
"Jul 30, 2007","2,294.75","2,294.75","2,294.75","2,294.75","0","1.03"
"Jul 27, 2007","2,271.41","2,271.41","2,271.41","2,271.41","0","-1.58"
"Jul 26, 2007","2,307.98","2,307.98","2,307.98","2,307.98","0","-2.33"
"Jul 25, 2007","2,363.12","2,363.12","2,363.12","2,363.12","0","0.47"
"Jul 24, 2007","2,352.12","2,352.12","2,352.12","2,352.12","0","-1.98"
"Jul 23, 2007","2,399.64","2,399.64","2,399.64","2,399.64","0","0.49"
"Jul 20, 2007","2,387.96","2,387.96","2,387.96","2,387.96","0","-1.22"
"Jul 19, 2007","2,417.50","2,417.50","2,417.50","2,417.50","0","0.45"
"Jul 18, 2007","2,406.69","2,406.69","2,406.69","2,406.69","0","-0.20"
"Jul 17, 2007","2,411.41","2,411.41","2,411.41","2,411.41","0","-0.01"
"Jul 16, 2007","2,411.65","2,411.65","2,411.65","2,411.65","0","-0.19"
"Jul 13, 2007","2,416.28","2,416.28","2,416.28","2,416.28","0","0.31"
"Jul 12, 2007","2,408.79","2,408.79","2,408.79","2,408.79","0","1.91"
"Jul 11, 2007","2,363.72","2,363.72","2,363.72","2,363.72","0","0.58"
"Jul 10, 2007","2,349.98","2,349.98","2,349.98","2,349.98","0","-1.42"
"Jul 09, 2007","2,383.80","2,383.80","2,383.80","2,383.80","0","0.09"
"Jul 06, 2007","2,381.59","2,381.59","2,381.59","2,381.59","0","0.36"
"Jul 05, 2007","2,373.07","2,373.07","2,373.07","2,373.07","0","0.04"
"Jul 03, 2007","2,372.22","2,372.22","2,372.22","2,372.22","0","0.38"
"Jul 02, 2007","2,363.28","2,363.28","2,363.28","2,363.28","0","1.07"
"Jun 29, 2007","2,338.25","2,338.25","2,338.25","2,338.25","0","-0.16"
"Jun 28, 2007","2,341.90","2,341.90","2,341.90","2,341.90","0","-0.04"
"Jun 27, 2007","2,342.84","2,342.84","2,342.84","2,342.84","0","0.92"
"Jun 26, 2007","2,321.46","2,321.46","2,321.46","2,321.46","0","-0.32"
"Jun 25, 2007","2,328.91","2,328.91","2,328.91","2,328.91","0","-0.32"
"Jun 22, 2007","2,336.41","2,336.41","2,336.41","2,336.41","0","-1.29"
"Jun 21, 2007","2,366.92","2,366.92","2,366.92","2,366.92","0","0.64"
"Jun 20, 2007","2,351.87","2,351.87","2,351.87","2,351.87","0","-1.36"
"Jun 19, 2007","2,384.25","2,384.25","2,384.25","2,384.25","0","0.18"
"Jun 18, 2007","2,380.09","2,380.09","2,380.09","2,380.09","0","-0.12"
"Jun 15, 2007","2,382.97","2,382.97","2,382.97","2,382.97","0","0.65"
"Jun 14, 2007","2,367.52","2,367.52","2,367.52","2,367.52","0","0.49"
"Jun 13, 2007","2,356.02","2,356.02","2,356.02","2,356.02","0","1.54"
"Jun 12, 2007","2,320.22","2,320.22","2,320.22","2,320.22","0","-1.07"
"Jun 11, 2007","2,345.27","2,345.27","2,345.27","2,345.27","0","0.10"
"Jun 08, 2007","2,342.98","2,342.98","2,342.98","2,342.98","0","1.14"
"Jun 07, 2007","2,316.63","2,316.63","2,316.63","2,316.63","0","-1.75"
"Jun 06, 2007","2,357.95","2,357.95","2,357.95","2,357.95","0","-0.86"
"Jun 05, 2007","2,378.44","2,378.44","2,378.44","2,378.44","0","-0.53"
"Jun 04, 2007","2,391.13","2,391.13","2,391.13","2,391.13","0","0.19"
"Jun 01, 2007","2,386.63","2,386.63","2,386.63","2,386.63","0","0.37"
"May 31, 2007","2,377.75","2,377.75","2,377.75","2,377.75","0","0.03"
"May 30, 2007","2,377.09","2,377.09","2,377.09","2,377.09","0","0.84"
"May 29, 2007","2,357.39","2,357.39","2,357.39","2,357.39","0","0.17"
"May 25, 2007","2,353.42","2,353.42","2,353.42","2,353.42","0","0.55"
"May 24, 2007","2,340.64","2,340.64","2,340.64","2,340.64","0","-0.96"
"May 23, 2007","2,363.29","2,363.29","2,363.29","2,363.29","0","-0.12"
"May 22, 2007","2,366.10","2,366.10","2,366.10","2,366.10","0","-0.06"
"May 21, 2007","2,367.63","2,367.63","2,367.63","2,367.63","0","0.15"
"May 18, 2007","2,363.97","2,363.97","2,363.97","2,363.97","0","0.66"
"May 17, 2007","2,348.44","2,348.44","2,348.44","2,348.44","0","-0.08"
"May 16, 2007","2,350.40","2,350.40","2,350.40","2,350.40","0","0.89"
"May 15, 2007","2,329.61","2,329.61","2,329.61","2,329.61","0","-0.12"
"May 14, 2007","2,332.43","2,332.43","2,332.43","2,332.43","0","-0.17"
"May 11, 2007","2,336.48","2,336.48","2,336.48","2,336.48","0","0.97"
"May 10, 2007","2,313.94","2,313.94","2,313.94","2,313.94","0","-1.38"
"May 09, 2007","2,346.30","2,346.30","2,346.30","2,346.30","0","0.35"
"May 08, 2007","2,338.14","2,338.14","2,338.14","2,338.14","0","-0.11"
"May 07, 2007","2,340.68","2,340.68","2,340.68","2,340.68","0","0.26"
"May 04, 2007","2,334.61","2,334.61","2,334.61","2,334.61","0","0.22"
"May 03, 2007","2,329.54","2,329.54","2,329.54","2,329.54","0","0.46"
"May 02, 2007","2,318.84","2,318.84","2,318.84","2,318.84","0","0.66"
"May 01, 2007","2,303.68","2,303.68","2,303.68","2,303.68","0","0.27"
"Apr 30, 2007","2,297.57","2,297.57","2,297.57","2,297.57","0","-0.78"
"Apr 27, 2007","2,315.70","2,315.70","2,315.70","2,315.70","0","-0.01"
"Apr 26, 2007","2,315.91","2,315.91","2,315.91","2,315.91","0","-0.07"
"Apr 25, 2007","2,317.50","2,317.50","2,317.50","2,317.50","0","1.02"
"Apr 24, 2007","2,294.02","2,294.02","2,294.02","2,294.02","0","-0.04"
"Apr 23, 2007","2,294.82","2,294.82","2,294.82","2,294.82","0","-0.23"
